,updated_day,ticker,id,title_positive,title_negative,title_compound_sentiment,teaser_positive,teaser_negative,teaser_compound_sentiment,body_positive,body_negative,body_compound_sentiment,value,all_compound_sentiment
91,2020-05-18,IDEX,16055574,24.7,0.0,31.82,11.0,0.0,27.32,11.0,4.0,99.18,341.72315766455284,52.77333333333333
92,2020-05-18,UPS,16054662,33.3,0.0,54.23,8.8,0.0,42.15,10.2,3.9,98.06,12.114608878606967,64.81333333333333
93,2020-05-18,VIRT,16054766,0.0,23.8,-36.12,9.0,4.6,34.0,7.5,4.8,94.16,5.568130375735629,30.679999999999996
94,2020-05-19,EIGR,16068871,12.5,0.0,45.88,10.0,5.0,31.82,7.2,4.4,98.68,-17.10526315789473,58.79333333333333
95,2020-05-19,FLDM,16063835,8.5,10.1,-10.27,29.0,0.0,83.16,7.8,4.1,95.99,-12.99885974914481,56.29333333333333
96,2020-05-19,INO,16063642,0.0,26.8,-65.97,10.3,0.0,49.39,7.9,5.3,94.56,-9.183027232425582,25.993333333333336
97,2020-05-19,KTOV,16063668,0.0,21.6,-65.97,13.5,11.4,-29.6,7.8,7.6,-76.37,-19.28632115548004,-57.31333333333333
98,2020-05-19,PYPL,16064473,18.0,0.0,51.06,6.5,0.0,31.82,9.6,1.9,98.89,11.335630051676173,60.589999999999996
99,2020-05-20,ASRT,16074601,16.7,0.0,29.6,7.6,0.0,22.63,10.7,4.9,99.74,-3.029955239297599,50.656666666666666
100,2020-05-20,CIDM,16074872,28.4,5.2,59.94,20.9,0.0,70.03,14.2,1.9,99.41,133.0,76.46
101,2020-05-20,CWBHF,16076072,27.9,0.0,47.67,19.3,0.0,71.78,15.2,0.0,99.81,-12.295999999999992,73.08666666666667
102,2020-05-20,EVOK,16074410,21.4,0.0,45.88,8.0,0.0,38.18,11.1,4.4,99.48,15.19607843137255,61.18000000000001
103,2020-05-20,GIGM,16074980,23.9,0.0,29.6,9.0,6.9,14.4,13.9,4.4,96.84,-4.854368932038832,46.946666666666665
104,2020-05-20,HUM,16075029,42.4,0.0,79.64,13.9,0.0,40.19,20.1,2.8,99.89,-3.6709084929288824,73.24
105,2020-05-20,LIFE,16074091,0.0,20.6,-65.97,22.6,0.0,78.45,5.8,4.9,-50.89,14.32432432432433,-12.803333333333333
106,2020-05-21,AKTX,16086556,21.7,0.0,55.74,23.3,0.0,80.2,8.2,8.0,-13.68,3.4825870646766317,40.75333333333334
107,2020-05-21,CAG,16084373,18.2,0.0,30.62,10.0,0.0,35.92,6.45,3.95,49.725,5.247858017135874,38.755
108,2020-05-21,CIDM,16084765,14.9,0.0,42.15,24.9,0.0,88.3,15.3,1.0,99.86,177.44982290436838,76.77
109,2020-05-21,CVS,16086218,8.5,0.0,10.27,8.3,0.0,40.19,7.9,1.9,99.14,1.531659561029526,49.86666666666667
110,2020-05-21,LIQT,16084715,18.0,0.0,29.6,13.0,0.0,40.19,5.7,3.2,79.63,-7.096774193548392,49.806666666666665
111,2020-05-21,NNVC,16084212,25.3,0.0,52.67,18.5,0.0,69.01,10.4,2.0,99.69,-10.96433289299868,73.79
